coffee_machine;coffee_grinder;stove_type;heat_setting;coffee_origin;coffee_variety;coffee_processing_type;coffee_roast_level;coffee_roasted_days_ago;coffee_dose;grind_size;water_filtered;water_weight;pre-infusion_time;extraction_time;total_brew_time;taste_score;bitterness_score;sourness_score;aroma_intensity;crema_quality
9BARISTA;PIETRO;CERAMIC;100;HUILA-COLOMBIA;PINK_BOURBON;ANAEROBIC_DOUBLE_FERMENTATION;LIGHT;14;16.5;0.8;FALSE;120;12.3;15.0;225;6.3;7.0;5.0;5.0;4.5
9BARISTA;PIETRO;CERAMIC;100;HUILA-COLOMBIA;PINK_BOURBON;ANAEROBIC_DOUBLE_FERMENTATION;LIGHT;15;17.0;0.8;FALSE;120;11.6;12.2;265;5.8;7.5;3.0;5.0;6.0
9BARISTA;PIETRO;CERAMIC;100;HUILA-COLOMBIA;PINK_BOURBON;ANAEROBIC_DOUBLE_FERMENTATION;LIGHT;15;16.5;0.8;FALSE;120;14.2;11.6;279;4.2;8.5;6.0;5.0;7.0
9BARISTA;PIETRO;CERAMIC;100;JUKIA_PARK-UGANDA;SL-14;NATURAL_ANAEROBIC;MEDIUM;6;18.0;0.8;FALSE;120;27.0;16.0;244;5.0;8.0;4.5;4.5;6.5
9BARISTA;PIETRO;CERAMIC;100;JUKIA_PARK-UGANDA;SL-14;NATURAL_ANAEROBIC;MEDIUM;6;16.6;0.8;FALSE;120;12.8;12.2;162;5.2;4.0;7.5;5.0;6.5
